Approved Symbol	UniProt ID(supplied by UniProt)
EXLD1~withdrawn	
FEOM3~withdrawn	
TRK-CTT1-1	
RNU6-458P	
AGS1~withdrawn	
RNU6-350P~withdrawn	
FOXE2~withdrawn	
TRBV2	
TRBV3-1	
TRBV4-1	
TRBV4-2	
MIR3917	
ROCR	
SUCLG2P3	
RNU1-115P	
RNU7-173P	
RNU1E2~withdrawn	
MTCSB3	
LINC01221	
LCMT1-AS1	
ZNF30-AS1	
LINC02218	
BMP7-AS1	
HID1-AS1	
FAM7B1~withdrawn	
LINC02154	
OR2E1P	
OR2N1P	
OR2Q1P	
VNN2-AS1~withdrawn	
LINC02362	
LINC02497	
LINC02506	
LINC02224	
LINC01238	
LINC01626	
LINC02529	
ZNF528-AS1	
LINC02289	
NEURL1-AS1	
MRX77	
LINC01269	
RN7SL659P	
RN7SL314P	
SNORD115-29	
SNORD115-30	
FNZ~withdrawn	
DFNB34	
LINC02313	
OR7A11P	
SLC25A18P1	
SCA22~withdrawn	
TRBV4-3	
TRBV5-1	
TRF-GAA8-1	
OR7E37P	
RN7SKP26	
PYHG15~withdrawn	
SNORD115-31	
SNORD115-32	
FAM138E	
SNORD115-33	
PYHG16~withdrawn	
LINC02575	
OR8B6P	
AMMECR1-IT1	
MIC7	
TRV-CAC13-1	
RN7SL22P	
PABPCP4~withdrawn	
PAFAH1B1P2	
RN7SL784P	
TRBV5-3	
RN7SL478P	
SNRPGP17	
RN7SL256P~withdrawn	
SNORD3P2	
SURF6P1	
RNA5SP342	
RNU2-36P	
PGBD4P4	
RNU4-6P	
TRBV5-4	
OR5BE1P	
RNU7-187P	
MIC9~withdrawn	
IL6R-AS1	
DUX4L38	
LINC02188	
NT5CP1	
RNA5SP169	
LINC02197	
NACAP7	
RN7SKP185	
RN7SKP149	
MSK23~withdrawn	
LINC01690	
RNU6-1277P	
EIF5P1	
MSK24~withdrawn	
MIR23C	
MTCL1P1	
HNRNPA3P9	
MSK25~withdrawn	
NDUFB4P5	
RN7SL104P	
RN7SL259P	
LINC02015	
LINC01919	
ZNF301~withdrawn	
HMGN1P19	
MTATP6P16	
UGGT2-IT1~withdrawn	
PPFIA2-AS1	
PIGQP1	
MTND6P35	
FEB3~withdrawn	
SIRPB3P	
MSK26~withdrawn	
LINC02544	
SNORD115-34	
RNU6-575P	
RN7SL740P	
KERSMCR~withdrawn	
MIR3620	
MIR3621	
RN7SL504P	
TSEN15P3	
TRBV5-5	
FTH1P26	
SRPSMCR~withdrawn	
TNRC8~withdrawn	
TNRC17	
ARHGEF19-AS1	
RNU6-597P	
RN7SL700P	
DDU	
CECR3	
LINC02043	
RN7SKP237	
MSK27~withdrawn	
TRIM60P4Y	
RNU7-153P	
MIR3677	
MIR3646	
SLC21A4~withdrawn	
SDHDP5	
SLC21A5~withdrawn	
SLC21A7~withdrawn	
SLC21A13~withdrawn	
MSK29~withdrawn	
LINC02191	
USP9YP21	
MSK3~withdrawn	
TRBV5-6	
RNU4-77P	
INSSA1~withdrawn	
IBD4	
INSSA2~withdrawn	
MTND4P16	
TRBV5-7	
TRBV5-8	
TRE-CTC18-1	
RNU6-513P	
MSK30~withdrawn	
MIR3616	
RN7SL445P	
BNIP3P28	
PHF4~withdrawn	
UBE2F-SCLY	
MTCYBP41	
YBX1P1	
MSK31~withdrawn	
TRBV6-1	
RN7SKP104	
PCANAP7~withdrawn	
PCANAP8~withdrawn	
BOLA2-SMG1P6	
WBP1LP2	
LINC01865	
RNF19BPX	
PRRX2-AS1	
ECA1	
LINC01714	
MIR3687-1	
LINC01857	
RN7SKP17	
RNU1-109P	
RN7SL834P	
RNU6-574P	
RPS26P1	
IBD5	
IBD6	
CHMP1B2P	
RNU6-240P	
HELIGL1~withdrawn	
MHAC	
SNORD115-35	
SNORD115-36	
SNORD115-37	
LINC02113	
ERVFRD-3	
TRBV6-2	
MIR3649	
LINC02550	
LINC01052	
PPIAP1	
TRBV6-3	
RIMKLP~withdrawn	
LINC02293	
LINC01899	
MTND2P23	
PYHG17~withdrawn	
TRBV6-4	
TRBV6-5	
TRBV6-6	
MIR3612	
MSK32	
TRBV6-7	
TRBV6-8	
TRBV6-9	
TRBV7-1	
CORD8	
MXRA1~withdrawn	
MXRA2~withdrawn	
MXRA3~withdrawn	
LINC02179	
RNU6-878P	
TRBV7-2	
TRBV7-3	
SNORD115-38	
RN7SL14P	
MXRA6~withdrawn	
MTND4P23	
OSIL~withdrawn	
PCDHACT	
OR51B8P	
KRTAP10-13P	
RNU6ATAC24P	
RN7SL394P	
HSPE1P21	
RN7SKP188	
RNA5SP58~withdrawn	
RNU6-792P	
HMGN2P45	
CHCHD2P7	
TRBV7-4	
TRBV7-6	
TRBV7-7	
LINC02399	
PCDHGCT	
TRBV7-8	
RP29	
LINC02392	
LINC02410	
HNRNPA1P24	
TRBV7-9	
TRBV9	
TRBV10-1	
TRBV10-2	
MIR3945	
TRBV10-3	
TRBV11-1	
TRBV11-3	
TRBV12-4	
BNIP3P16	
HMGN3-AS1	
RNU7-115P	
RN7SL451P	
TRBV12-5	
CMD1K	
MIR3609	
GPR90~withdrawn	
TRBV13	
TRBV14	
FMR3	
PLS1-AS1	
CMD1J~withdrawn	
TRBV16	
BNIP3P35	
HAO3~withdrawn	
TRBV17	
TRBV18	
LINC02423	
RN7SL282P	
NXF4	
TRBV19	
TRBV20-1	
TRBV23-1	
TRBV24-1	
MIR3655	
LINC02439	
SLEB2~withdrawn	
DLX6-AS2	
MTDHP4	
MTND4P30	
MRX75	
TRL-AAG6-1	
DTX2P1	
RNU6-723P	
MTND3P1	
RN7SL706P	
SCA16~withdrawn	
MIR3910-1	
MIR3937	
AKIRIN1P2	
SPG15~withdrawn	
WFS2~withdrawn	
MSK34~withdrawn	
RN7SL334P	
CHCHD2P11	
BRWD1P1	
TRBV25-1	
TRBV27	
RNA5SP360	
RN7SL80P~withdrawn	
MIR3920	
MIR3650	
MIR3660	
MIR3909	
MIR3614	
MIR3619	
MIR3943	
RNA5SP225	
MSK35~withdrawn	
MSK36~withdrawn	
RN7SL839P~withdrawn	
LINC01095	
OR51F5P	
PERQ2~withdrawn	
PERQ3~withdrawn	
RN7SL650P	
RBPJP3	
RBPJP4	
RN7SL587P	
LINC02441	
LINC02079	
TMEM202-AS1	
LINC02001	
LINC01841	
LINC01855	
LINC01837	
LINC01872	
MTND4LP26	
RBM8B	
MSK38	
TRBV28	
TRBV29-1	
SNORD115-39	
SEPT14P18	
MTCO3P12	
VN1R25P	
RNU7-161P	
SNORD115-40	
TRBV30	
DUX4L20	
BNIP3P29	
LINC01684	
TTTY21B	
SNORD115-41	
LINC01747	
TMBIM7P	
MSK4~withdrawn	
TRDD1	
MIR550B2	
MTATP6P28	
LINC02483	
EIF2AP2	
RN7SL733P	
PA2G4P6	
PPIAP44	
CASC23	
GTF2IP14	
GRAMD4P4	
LINC02512	
C1QTNF9-AS1	
RNU7-196P	
LINC02258	
PRAMEF31P	
PRMT5-AS1	
NUP58P1	
TRDD2	
TRDD3	
TRDJ1	
TRDJ2	
CBX3P5	
TRDJ3	
MTND6P21	
RNA5SP302	
RN7SL67P	
ZNF807	
LINC01728	
MSK40~withdrawn	
PCDHG@	
C9orf147	
TMEM238L	
TMED7-TICAM2	
HSPB2-C11orf52	
RBM14-RBM4	
CENPS-CORT	
ATP5J2-PTCD1	
LCS1	
MSK7~withdrawn	
POC1B-GALNT4	
MSK9	
CCDC169-SOHLH2	
RNF103-CHMP3	
TMEM110-MUSTN1	
C15orf38-AP3S2	
MTCO1P20	
NT5C1B-RDH14	
INMT-MINDY4	
VTI1BP1	
RNY1P16	
RNU6-915P	
PYHG18~withdrawn	
BLOC1S5-TXNDC5	
TMX2-CTNND1	
SAA2-SAA4	
RNU6-1008P	
PYHG19~withdrawn	
TM4SF1-AS1	
PDSS1P2	
GK-AS1	
RNU6-1215P	
RNU2-59P	
LINC01716	
LINC01935	
LINC01966	
LINC01953	
LINC01614	
LINC01918	
LINC02024	
LINC02021	
ZNF816-ZNF321P	
RAB4B-EGLN2	
DHX40P1	
RN7SL485P~withdrawn	
LINC01291	
RN7SL633P	
MSH5-SAPCD1	
ATP6V1G2-DDX39B	
BIVM-ERCC5	
DNAAF4-CCPG1	
PYHG2~withdrawn	
GAS6-AS1	
ACTBP4	
MIR3912	
MIR3658	
LINC02004	
SPIN4-AS1	
MIR3653	
MTND2P1	
PARK4~withdrawn	
LINC02248	
LINC01537	
RN7SL55P	
RN7SL452P	
RN7SL54P~withdrawn	
KLF7-IT1	
MAMDC2-AS1	
RNU6-92P	
HAUS6P3	
LINC02373	
LINC02029	
LINC01997	
RNA5SP299	
RNU6-476P	
ENPP7P12	
PYHG20~withdrawn	
LINC02054	
SPG16	
LINC01995	
WHSC1L2P	
LINC01798	
OR52H2P	
LNX1-AS2	
LINC01035	
RNU6-1056P	
RNU4ATAC12P	
TPRG1-AS2	
SNORD115-42	
RN7SKP124	
C2orf69P3	
RN7SL241P	
IGHV2OR16-5	
IGHV3OR16-10	
ST13P16	
RNU6-1319P	
RGPD4-AS1	
SLC25A15P5	
RNU6-547P	
RN7SL596P	
RNU6-801P	
RNU6-418P	
HAVCR1P2	
SYP-AS1	
MIR3924	
MIR3907	
MIR3914-1	
NOC2LP1	
ZNF625-ZNF20	
MIR3606	
MIR3926-2	
MIR3686	
MIR3656	
PPP1R12CP~withdrawn	
LINC01946	
RN7SL221P	
RN7SL617P	
RNU6-1254P	
SNORD115-43	
SNORD115-44	
ALG1L13P	
GYG1P3	
RNU6-784P	
IGKV1OR2-108	
HTR3E-AS1	
TRG-GCC1-3	
OR5G5P	
CFAP44-AS1	
TTC4P1	
PYHG21~withdrawn	
LINC01991	
LINC01972	
RNA5SP35	
MTCO3P33	
C16orf19~withdrawn	
RNU6-956P	
NCF4-AS1	
RNU5C~withdrawn	
LINC01867	
FAM8A3P	
RNU17C~withdrawn	
PSORS7	
PSORS8	
LINC02320	
RNU6ATAC34P	
RNU6-696P	
LINC02488	
LINC02121	
PYHG22~withdrawn	
LINC02103	
YWHAZP2	
PYHG3~withdrawn	
FRMPD3-AS1	
YBX1P8	
MTATP6P23	
PYHG4~withdrawn	
LINC02110	
LINC01890	
PYHG6~withdrawn	
RN7SL304P	
MIR675	
C16orf21~withdrawn	
LINC00844	
OR8B9P	
OR9I2P	
SLC25A15P2	
PYHG7~withdrawn	
MIR3150BHG	
PYHG8~withdrawn	
RN7SL15P	
OR7E117P	
PYHG9~withdrawn	
MIR3678	
MIR3652	
TRGP1~withdrawn	
OR7E85P	
RNU1-106P	
NEGR1-IT1	
OR7E115P	
LINC01925	
LINC02022	
LINC02017	
LINC02077	
LINC02050	
LINC02025	
LINC02429	
BFLS~withdrawn	
GLYS1	
PPP1R12A-AS1	
LINC02264	
MTCO1P11	
RN7SL431P	
LINC01449	
DPP3P1	
RNU6-11P	
RNU4-57P	
LINC00349	
WBP1LP12	
MTND5P3	
MIR3922	
MIR3664	
MIR642B	
MIR3689A	
MIR3615	
MIR3916	
MIR3682	
MIR3918	
MIR3929	
MIR3180-4	
MIR3605	
NMTRL-TAA4-1	
LENG8-AS1	
RNU6-334P	
NDUFAF4P3	
ICR3	
DPP9-AS1	
RNU6-224P	
EIF3EP2	
LINC02479	
LINC02365	
LINC02480	
XACT	
WSPAR	
CCEPR	
SNORD128	
SNORD133	
ICR4	
SNORA74C-1	
SNORA74D	
SNORA79B	
SNORA9B	
SNORD31B	
RNU6-378P	
LINC02132	
RNU2-65P	
RBM22P4	
LINC01937	
LINC01803	
SNORD116-28	
C20orf158~withdrawn	
LINC02518	
HNRNPA1P62	
RNU6-1281P	
WWC3-AS1	
LINC02343	
MIR3671	
RNA5SP476	
RNA5SP110	
SLC25A51P3	
RNU6-268P	
C21orf15~withdrawn	
C21orf12~withdrawn	
LRRC3DN	
URAHP	
C20orf159~withdrawn	
C21orf32~withdrawn	
C21orf40~withdrawn	
ICR5	
PSMC1P7	
C21orf53~withdrawn	
ARHGEF7-AS1	
RN7SKP256	
RN7SKP214	
RN7SKP216	
RNU6-839P	
HSD17B3-AS1	
INTS6-AS1	
CARSP2	
RN7SL818P	
C21orf64~withdrawn	
C16orf12~withdrawn	
C16orf15~withdrawn	
LINC00381	
SNORD38D	
MTCYBP8	
OR6C73P	
RNU6-1076P	
C16orf27~withdrawn	
C16orf29~withdrawn	
C11orf26~withdrawn	
CTAA1	
RNU6-1263P	
C11orf29~withdrawn	
C8orf7~withdrawn	
MIR3713	
MIR548Z	
RN7SL518P	
ARL5AP3	
ARSD-AS1	
SNORD116-29	
SUB1P2	
RNY4P37	
MHS2	
SNORD82	
RNU6-295P	
RNU7-168P~withdrawn	
C3CER1	
LINC01090	
PCDH9-AS2	
RNA5SP506	
BNIP3P14	
RNU6-649P	
SNORD80	
SNORD4A	
SNORD4B	
C20orf131~withdrawn	
ABCB10P4	
RN7SL238P	
C20orf153~withdrawn	
ARHGEF7-IT1	
SEC24AP1	
C20orf181	
HM13-AS1	
DDX3P2	
SNORD102	
RPF2P1	
ELOCP30	
C20orf57~withdrawn	
MIR3939	
PGAM5P1	
VCF~withdrawn	
RN7SL816P~withdrawn	
LINC01611	
RNU7-140P	
LINC00686	
KRT8P35	
GRM7-AS1	
RNU6-1329P	
C5orf10~withdrawn	
C1orf30~withdrawn	
HMGN2P15	
RN7SL275P	
SLC5A4-AS1	
C17orf33~withdrawn	
MRX57	
RN7SKP264	
RPL23AP92	
LINC02162	
RNU6-485P	
CDC27P9	
LINC01424	
LINC01928	
RNA5SP522	
LINC02561	
SNORD65B	
MTND2P19	
RNU6-549P	
BUB1B-PAK6	
SNORD65C	
SNORD77B	
GLAT~withdrawn	
LINC01500	
COL18A1-AS2	
DIRC3-AS1	
ZNF736P10Y	
RN7SL434P	
IQCJ-SCHIP1-AS1	
MOB1AP1	
RNA5SP262	
GLYB	
VCAN-AS1	
SNORD115-48	
MIR3622A	
RSL24D1P2	
DUX4L26	
CDRT7	
RHEBP2	
RN7SL93P	
CDPD1~withdrawn	
SHFM2	
LINC02221	
LINC02533	
UGT2B24P	
CILD2~withdrawn	
SNORD79	
SNORD81	
RNU105B	
RNU105C	
SNORD12C	
SNORD3F	
CENPC~withdrawn	
RNU105A~withdrawn	
MIR3921	
COX6CP2	
COX7BP2	
CORD9~withdrawn	
TRC-GCA9-2	
ST13P22	
RNU1-107P	
DDX11L10	
UQCRC2P1	
IGLV@~withdrawn	
IHG1	
LINC01399	
RNU6-768P	
RNY1P8	
DEFB111~withdrawn	
DEFB117	
DFNA18	
DFNA37	
LINC00556	
FDPSP6	
DFNA41~withdrawn	
DFNA52~withdrawn	
DEFB132P~withdrawn	
AGBL4-IT1	
FAM91A2P	
RN7SL773P~withdrawn	
DYX5	
RNU6-283P	
ENSAP1	
SDU~withdrawn	
AOX3P-AOX2P	
AVSD1	
TRL-TAA4-1	
RNU6-1152P	
RN7SKP174	
RN7SL506P~withdrawn	
LINC01397	
MIR3618	
MIR3665	
SNORD3G	
FAT1P1	
IGBP1-AS2	
GGTLA3~withdrawn	
LINC00871	
SNORD3J	
SNORD13F	
GLRXP1	
RN7SL672P	
RN7SL20P	
OR5BG1P~withdrawn	
RN7SL746P~withdrawn	
MTCO2P17	
MZT1P1	
LINC01820	
SNORD83A	
HSPE1P1	
IGHV1OR16-4	
CORD4	
ATG10-AS1	
MTND5P32	
CD44-AS1	
MARK3P1	
LINC02434	
SNORD83B	
SNORD13G	
RNA5SP39	
RNU6-710P	
ZNF272~withdrawn	
MIR3648-1	
MCPH6~withdrawn	
CACNA1C-AS3	
FLNB-AS1	
RN7SL193P	
YAP1P1	
LINC00854	
SNORD115-24	
TTTY7B	
TTC39CP1	
ERVK9-11	
MTCO2P1	
NPAP1P7	
EEF1A1P40	
MRS~withdrawn	
ERVK9-9	
ERVK9-7	
ERVK9-4	
ERVK9-10	
ERVK9-8	
ERVK9-6	
ERVK9-5	
ERVK9-3	
ERVK9-2	
ERVK9-1	
FRA18C	
TTTY11	
PVS~withdrawn	
ACHRG~withdrawn	
FUR~withdrawn	
SSU72P3	
LINC02090	
RNA5SP111	
FRA2E	
FRA2F	
FRA1I	
OR3A6~withdrawn	
OR3A7~withdrawn	
C6orf16~withdrawn	
CRYA1~withdrawn	
FPGT-TNNI3K	
FRA1J	
MIR217HG	
OR10V3P	
FRA1K	
FRA1L	
RNR4	
OR11M1P	
FRA1M	
FRA2A	
FRA2B	
FRA2C	
FRA2D	
FRA2G	
FRA2H	
FRA2I	
FRA2J	
FRA2K	
FRA3A	
FRA3C	
FRA3D	
FRA4A	
FRA4B	
FRA4C	
FRA4D	
FRA5A	
FRA5B	
FRA9F	
FRA5C	
FRA5D	
FRA5E	
FRA5F	
SPATA2P1	
GHRF~withdrawn	
FRA5G	
FRA6A	
FRA6B	
FRA6C	
FRA6D	
FRA6E	
FRA6F	
FRA6G	
FRA7A	
FRA7B	
FRA7C	
FRA7D	
FRA7E	
FRA7F	
LINC01044	
OR2A13P	
S14~withdrawn	
FRA10A	
FRA7I	
FRA7J	
FRA8A	
FRA8B	
FRA8C	
S8~withdrawn	
LINC02100	
OR2L6P	
FRA8D	
FRA8E	
FRA9A	
FRA9B	
FRA9C	
RNA5SP409	
S9~withdrawn	
FRA9D	
FRA15A	
FRA16A	
FRA16B	
FOCAD-AS1	
OR3B1P	
FRA16D	
FRA16E	
FRA17A	
FRA17B	
FRA18A	
FRA19B	
FRA20A	
FRA20B	
FRA22A	
FRA22B	
FRAXA	
FRAXB	
FRAXC	
FRAXD	
FRAXE	
RN7SL493P	
OR4F7P	
TTTY14	
TTTY15	
TTTY2	
TTTY4	
TTTY5	
PTPRZ2	
TTTY6	
TTTY7	
TTTY8	
TTTY9A	
GNA14-AS1	
LINC02571	
EIF1AXP2	
RNU4-53P	
SD~withdrawn	
LINC01781	
ZNF199~withdrawn	
LINC01491	
NRG1-IT3	
RNU6-882P	
TRW-CCA6-1	
RN7SL382P	
RNU6-60P	
RN7SL660P	
MIR548AA1	
LINC00344~withdrawn	
RN7SL588P~withdrawn	
BORCS7-ASMT	
SNORD121A	
ART2BP	
CORD17	
LINC02283	
LINC01938	
RNU6-471P	
LINC01157	
FAM30B	
EBD1~withdrawn	
UFL1-AS1	
OR5AH1P	
OR5AK1P	
OR5AL2P	
FAM197Y7	
LINC01598	
LINC02275	
DFNB80	
OR5BA1P	
SNORD13I	
RN7SL741P	
RNA5SP203	
MTND4LP25	
RNU6-949P	
LINC00454	
HMGB3P14	
PRELID3BP3	
LINC01762	
RN7SKP103	
FOXP1-IT1	
OR5P4P	
SNX18P27	
NUS1P2	
MKX-AS1	
OR6D1P	
LINC01050	
OR6M3P	
OR7A18P	
OR7E53P	
SPATA17-AS1	
MIR4772	
RNU1-32P	
DFNA62	
OR8Q1P	
ERV18-1	
SNORD22	
SNORD116-1	
TRP-AGG2-1	
SNORD116-2	
SNORD116-3	
SNORD13C	
OTSC3	
DFNB92	
LINC01068	
SNORD13D	
SNORD19C	
SNORD116-4	
MRPS31P5	
PARK6~withdrawn	
PARK8~withdrawn	
PARK9~withdrawn	
PDB5	
PDB6	
SNORD116-5	
PGAM3P	
MTND3P3	
PLAC5~withdrawn	
PPH2	
MIR3936	
LINC02211	
PPP1R14BP4	
SNORD116-6	
EBR1~withdrawn	
LINC01468	
CLUHP9	
RNU6-846P~withdrawn	
LINC01977	
RN7SL75P	
CAMTA1-DT	
SNORA30B	
NPIPP1	
RN7SL604P	
LINC01687	
MTCYBP20	
GOLGA6L21P~withdrawn	
SMIM12-AS1~withdrawn	
AGBL5-IT1	
MAST4-IT1	
MIR3941	
RNA5SP309	
SNORA70H	
RNF11P2	
EBS3~withdrawn	
RNU40~withdrawn	
LANCL1-AS1	
OR4A44P	
SNORD116-7	
RPL27AP	
PWRN4	
RBM22P10~withdrawn	
LINC01066	
RN7SKP255	
MTND3P12	
UPF3AP3	
RNA5SP107	
RN7SKP204	
SNORD116-8	
SNORD116-9	
SNORD105B	
SNORD116-10	
SNORD116-11	
UGT1A2P	
SAX1	
SCA18	
SCA21~withdrawn	
SCZD10	
MIR3684	
AIMP1P1	
LINC00536	
OR5S1P	
ARHGEF3-AS1	
SNORD116-12	
RNU6-1204P	
RNA5SP104	
RN7SL192P	
RNU7-109P~withdrawn	
LINC01677	
ARHGAP26-IT1	
MIR2117HG	
SNORD125	
OR10AA1P	
ANKRD20A14P	
BMF-AS1	
SLEV1~withdrawn	
SLEB3	
SLEH1	
SLEN1	
SLEN2	
SLEN3	
CLRN1-AS1	
LINC01030	
PRAMEF28P	
SNRPFP1	
SPG14	
SLC25A21-AS1	
SNORA75B	
PCMTD1P1	
SPANXF2~withdrawn	
SPG17~withdrawn	
HMGB1P37	
RNU6-74P	
SRMP1	
ST13P~withdrawn	
LINC02326	
TRN-GTT15-1	
MTCO1P19	
RNVU1-13~withdrawn	
HMGN2P42	
RN7SKP195	
KCS~withdrawn	
MIRN872~withdrawn	
MTND5P30	
MIR923~withdrawn	
TMEM6~withdrawn	
MIR1300~withdrawn	
RP52	
MYCBP2-AS1	
TPSP1	
SNORD70B	
RN7SKP100	
TPSP3~withdrawn	
LYST-AS1	
NMNAT1P5	
RN7SKP160	
LINC01641	
SUMO2P12	
UBE2V1P1	
ARF4P4	
RNA5SP135	
XPOTP1	
FAM207CP	
WBSCR23~withdrawn	
SNORD3I	
RNY1P7	
ARL2BPP6	
RNU6-520P	
RNU6-231P	
LINC01680	
LINC00364	
SNORA3C	
DUX4L50	
NCRNA00103~withdrawn	
LINC01791	
MACROD2-IT1	
LINC00266-1	
MTUS2-AS1	
DSCAM-IT1	
SNORD63B	
BACH1-IT3	
BBOX1-AS1	
SRGAP3-AS3	
ZNF381P~withdrawn	
OR10V2P	
C1GALT1P3	
RPL23AP90	
SSU72P2	
MTND4LP18	
MIR453~withdrawn	
MIRN768~withdrawn	
DFNA40	
TRA-AGC17-1	
RNU7-171P	
RN7SL320P	
FGD5P1	
TRT-CGT3-1	
RNU6-1	
RNU11	
SNORD14A	
SNORA74A	
RNU6-1286P	
MIR3142HG	
LINC00391	
LINC02168	
SNORD74B	
RN7SL624P	
OR2H5P	
RNU6-349P	
RN7SL206P~withdrawn	
VIPR1-AS1	
LINC01440	
RN7SKP224	
LINC00571	
LINC01911	
SNORD3E	
CNN2P3	
RNU2-60P	
SNORD24	
SNORD32A	
SNORD33	
SNORD34	
SNORD35A	
SNORD36A	
MIR4505	
MIR4779	
MIR4655	
MIR3670-2	
MIR4795	
MIR4483	
FXYD6-FXYD2	
LINC02263	
SDCBP2P1	
RNU6-396P	
RNU6-304P	
NCOA4P3	
RNU6-1234P	
RNU6-568P~withdrawn	
NUCB1-AS1	
CDRT12	
CDRT3	
CDRT11	
LINC00278	
MIR3913-2	
DYRK1AIP3~withdrawn	
DYRK1AIP2	
SNORD36B	
ALS2CR14~withdrawn	
RN7SL569P	
SLC21A10~withdrawn	
SCA9	
RNU2-34P	
ATP5LP3	
FCF1P6	
SCA15~withdrawn	
ERVK-4	
TRA-AGC6-1	
RNU7-195P	
CNOT5~withdrawn	
LINC02542	
RNU7-156P	
HMGB3P9	
ZNF328~withdrawn	
FAM230C	
RN7SL181P	
SPAG10~withdrawn	
USP3L~withdrawn	
FAM7A4~withdrawn	
LINC02457	
RN7SKP219	
RNA5SP288	
ANKL1~withdrawn	
MT1Q~withdrawn	
EBR2A~withdrawn	
WND~withdrawn	
PLANH1~withdrawn	
NHE1~withdrawn	
ACTL3~withdrawn	
DYT14~withdrawn	
MT1NP~withdrawn	
SYNJ2-IT1	
LINC02155	
LINC02527	
ZNF630-AS1	
MT1S~withdrawn	
OVOL1-AS1	
EPHA5-AS1	
LINC00421	
FAM7A5~withdrawn	
TRL-CAG2-2	
LIX1L-AS1	
SNORD19B	
CICP24	
LINC01784	
SNORD3H	
SLC6A6P1	
FGS3	
OR5BH1P	
RN7SL508P	
MCPHA~withdrawn	
RBBP4P5	
TRL-TAA5-1	
SNORD36C	
SNORD37	
RN7SL498P	
NEGF2~withdrawn	
MTND4P37	
RNU2-49P	
DLEU7-AS1	
TMEM212-AS1	
LINC02469	
OR8B7P	
SNORD41	
SNORD42A	
SPG19	
PLCH1-AS1	
HMGB3P21	
RNU4-74P	
TRE-CTC1-7	
SDR16C6P	
GRAMD4P8	
SCA19~withdrawn	
DFNA43	
LINC00853	
LINC02467	
RNU6-1043P	
TP53BP2P1	
LINC01892	
SNORD42B	
SNORD3K	
RN7SL402P	
PARK10	
SNORA84	
RN7SL43P	
RNA5SP492	
RN7SKP19	
SPG18~withdrawn	
MIR936	
MIR938	
MIR940	
MIR941-1	
MIR941-4	
SFTPI~withdrawn	
OSTM1-AS1	
RN7SL823P	
DPPA3P3	
SFTPJ~withdrawn	
DFNB35~withdrawn	
HCHOLA4	
TRQ-CTG1-4	
RNU6-858P	
OR1AA1P	
RNU7-166P~withdrawn	
DFNA45	
DFNA46	
SNORD13H	
SNORD13B-1	
SNORD13E	
SNORD13B-2	
DFNB36~withdrawn	
ENO1-AS1	
LINC01230	
SNORA15B-2	
OR52B5P	
LINC02378	
RN7SL608P	
PTP4A1P7	
RN7SL785P	
ALPPP	
RBM12B-AS2~withdrawn	
CFTR-AS1	
COPS5P2	
TRI-AAT4-1	
OR51P1P	
NMTRQ-TTG5-1	
ELOCP32	
RPPH1-3P	
RNU6-650P	
RNA5SP448	
TRR-ACG2-4	
MIR942	
RNU1-51P	
KRTAP4-13~withdrawn	
FAM201B	
CENPVL3	
SNORA58B	
LINC01384	
LINC01794	
ARMC2-AS1	
LINC01352	
ZNF341-AS1	
MIR943	
